,Name,Price
0,Peladn Gaming GeForce RTX 3080 Ti 12G Graphics Card RGB Lighting GDDR6X PCI Express 4.0 Video Card Triple-fan Edition,"$1,299"
1,MSI Gaming GeForce RTX 3080 10GB GDDR6X PCI Express 4.0 ATX Video Card RTX 3080 GAMING Z TRIO 10G LHR,"$1,479"
2,Peladn Gaming GeForce RTX 3080 Ti 12G Graphics Card RGB Lighting GDDR6X PCI Express 4.0 Video Card Triple-fan Edition,"$1,299"
3,BIOSTAR NEW GeForce RTX 3080 10GB GDDR6X PCI Express 4.0 Graphics Card NVIDIA RTX 3080 10GB Gaming Video Card 8Pin GPU Gamer,$955
4,MAXSUN Nvidia Geforce RTX 3080 Ti iCraft GM OC 12GB GDDR6X Video Graphics Card GPU For Computer Gaming PC HDMI2.1 PCIE 4.0,"$2,609"
5,MSI RTX 3080 VENTUS 3X 10G OC LHR Ventus GeForce RTX 3080 Video Card,"$1,159"
6,MSI Suprim GeForce RTX 3080 10GB GDDR6X PCI Express 4.0 Video Card RTX 3080 SUPRIM X 10G LHR,"$1,698"
7,"ASUS ROG & Evangelion STRIX RTX 3080 O12G EVA Video Card,12GB 384-bit GDDR6X,PCI Express 4.0,2×HDMI Interface, 3×DisplayPort Interface","$2,119"
8,Peladn Gaming RTX3070 8G Graphics Card GDDR6 RGB Lighting PCI Express 4.0 Video Card Triple-fan Edition,$619
9,"ASUS TUF Gaming NVIDIA GeForce RTX 3080 V2 OC Edition Graphics Card (PCIe 4.0, 10GB GDDR6X, LHR, HDMI 2.1, DisplayPort 1.4a, Dual Ball Fan Bearings, Military-grade Certification, GPU Tweak II)","$1,599"
10,"MAXSUN GeForce RTX 3080 iCraft OC 10GB GDDR6X 320-Bit Computer Video Gaming Graphics Card GPU RGB LED, Metal Back Plate, PCI Express 4.0 x16 HDMI 2.1","$1,299"
11,Peladn Gaming GTX 1660Super 6G Graphics Card GDDR6 PCI Express 3.0 Video Card Dual-fan Edition,$259
12,"ZOTAC GeForce RTX 3080 Ti Trinity OC Graphics Card, 12GB GDDR6X 384-bit PCIe 4.0, IceStorm 2.0 Advanced Cooling, Spectra 2.0 RGB Lighting, 3x DisplayPort 1.4a, 1x HDMI 2.1, w/ MT HDMI 2.0 Cable","$1,904"
13,"GAINWARD GeForce RTX 2060 12G Video Card,12GB 192-bit GDDR6,PCI Express 3.0,1 x HDMI Interface,1 x DVI Interface, 1 x DisplayPort Interface",$562
14,"GIGABYTE GeForce RTX 3080 EAGLE 12G Graphics Card, 3 x WINDFORCE Fans, 12GB 384-bit GDDR6X, GV-N3080EAGLE-12GD Video Card","$1,799"
15,"GIGABYTE GeForce RTX 3080 GAMING OC 12G Graphics Card, 3 x WINDFORCE Fans, 12GB 384-bit GDDR6X, GV-N3080GAMING OC-12GD Video Card","$1,786"
16,"GIGABYTE GeForce RTX 3080 Vision OC 10G (REV2.0) Graphics Card, 3X WINDFORCE Fans, LHR, 10GB 320-bit GDDR6X, GV-N3080VISION OC-10GD REV2.0 Video Card,LHR","$1,599"
17,GIGABYTE AORUS GeForce RTX 3080 10GB GDDR6X PCI Express 4.0 ATX GAMING BOX GV-N3080IXEB-10GD (rev. 2.0) (LHR),"$1,899"
18,"ZOTAC GeForce RTX 3080 Ti Trinity OC Graphics Card, 12GB GDDR6X 384-bit 19 Gbps PCIe 4.0, IceStorm 2.0 Advanced Cooling, Spectra 2.0 RGB Lighting, w/ MT HDMI 2.1 Cable, Anti-Sag RGB Holder","$1,919"
19,MSI Ventus GeForce RTX 3080 10GB GDDR6X PCI Express 4.0 Video Card RTX 3080 VENTUS 3X 10G OC LHR,"$1,375"
20,ZOTAC GAMING GeForce RTX 3080 TRINITY OC LHR 10GB GDDR6X PCI Express 4.0 Video Card ZT-A30800J-10PLHR,"$1,469"
21,"GIGABYTE AORUS GeForce RTX 3080 XTREME WATERFORCE WB 10G (rev. 2.0) Graphics Card, WATERFORCE Water Block Cooling System, 10GB 320-bit GDDR6X, GV-N3080AORUSX WB-10GD Rev2.0 Video Card (LHR)","$1,674"
22,"GIGABYTE GeForce RTX 3080 GAMING OC WATERFORCE WB 10G (rev2.0) Graphics Card, WATERFORCE Water Block Cooling System, 10GB 320-bit GDDR6X, GV-N3080GAMINGOC WB-10GD Rev2.0 Video Card (LHR)","$1,429"
23,MSI Gaming GeForce RTX 3080 10GB GDDR6X PCI Express 4.0 ATX Video Card RTX 3080 GAMING Z TRIO 10G LHR,"$1,499"
24,"EVGA GeForce RTX 3080 12GB FTW3 Ultra Gaming, 12G-P5-4877-KL, 12GB GDDR6X, iCX3 Technology, ARGB LED, Metal Backplate, LHR","$1,928"
25,MSI GeForce RTX 3080 AERO S 10G LHR Graphics 1905 MHz DisplayPort x 3 RTX 3080 Graphics card rtx3080 video card GDDR6X,"$2,289"
26,MSI Gaming GeForce RTX 3080 10GB GDDR6X PCI Express 4.0 ATX Video Card RTX 3080 GAMING Z TRIO 10G LHR,"$1,599"
27,"GIGABYTE Gaming GeForce RTX 3080 Ti 12GB 384-Bit GDDR6X PCI Express 4.0 x16 ATX Video Card, 3X WINDFORCE Fans, GV-N308TGAMING OC-12GD Graphics Card","$2,099"
28,"EVGA GeForce RTX 3080 12GB FTW3 Ultra Gaming, 12G-P5-4877-KL, 12GB GDDR6X, iCX3 Technology, ARGB LED, Metal Backplate, LHR","$1,957"
29,MSI Ventus GeForce RTX 3080 10GB GDDR6X PCI Express 4.0 Video Card RTX 3080 VENTUS 3X 10G OC,"$1,465"
30,Yeston RTX 3080 10GB GDDR6X 320bit LHR Graphics cards Nvidia pci express x16 4.0 HDMI 2.1*1 + DP1.4a*3 video cards Desktop computer PC video gaming graphics card,"$1,149"
31,GIGABYTE Gaming OC GeForce RTX 3080 10GB GDDR6X PCI Express 4.0 ATX Video Card GV-N3080GAMING OC-10GD (rev. 2.0) (LHR),"$1,380"
32,ASUS ROG STRIX GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 Video Card ROG-STRIX-LC-RTX3080TI-12G-GAMING,"$1,599"
33,GIGABYTE AORUS GeForce RTX 3080 MASTER 10GB GDDR6X PCI Express 4.0 ATX Video Card GV-N3080AORUS M-10GD (rev. 3.0) (LHR),"$1,449"
34,ASUS ROG Strix GeForce RTX 3080 V2 OC Edition 10GB GDDR6X PCI Express 4.0 x16 Video Card ROG-STRIX-RTX3080-O10G-V2-GAMING (LHR),"$1,669"
35,ASUS TUF Gaming GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 Video Card TUF-RTX3080TI-O12G-GAMING,"$1,998"
36,"ASUS TUF Gaming NVIDIA GeForce RTX 3080 OC Edition Graphics Card (PCIe 4.0, 12GB GDDR6X, LHR, HDMI 2.1, DisplayPort 1.4a, Dual Ball Fan Bearings, Military-grade Certification, GPU Tweak)","$1,599"
37,ASUS ROG STRIX GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 x16 Video Card ROG-STRIX-LC-RTX3080TI-O12G-GAMING,"$2,099"
38,MSI Ventus GeForce RTX 3080 10GB GDDR6X PCI Express 4.0 Video Card RTX 3080 VENTUS 3X PLUS 10G OC LHR,"$1,331"
39,MSI Gaming GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 Video Card RTX 3080 Ti Gaming X Trio 12G,"$2,185"
40,MSI Ventus GeForce RTX 3080 12GB GDDR6X PCI Express 4.0 Video Card RTX 3080 VENTUS 3X PLUS 12G OC LHR,"$1,546"
